Num MPI ranks,Num nodes,cpu time used,zone-cycles/cpu_second
1,1,2.951996e+02,2.841674e+07
2,1,3.023963e+02,5.548090e+07
3,1,3.015973e+02,8.344180e+07
4,1,3.033901e+02,1.105983e+08
8,2,3.034623e+02,2.211440e+08
16,4,3.038294e+02,4.417536e+08
32,8,3.042785e+02,8.822031e+08
64,16,3.051827e+02,1.759178e+09
512,128,3.068459e+02,1.399715e+10
1024,256,3.106358e+02,2.765275e+10
2048,512,3.109008e+02,5.525835e+10

# extra datapoints:
# 2,1,3.024850e+02,5.546461e+07
# 3,1,3.016698e+02,8.342174e+07
# 4,1,3.039970e+02,1.103775e+08
