Num MPI ranks,Num nodes,cpu time used,zone-cycles/cpu_second
1,1,2.590733e+02,6.475858e+06
2,1,2.605369e+02,1.287895e+07
3,1,2.604821e+02,1.932250e+07
4,1,2.610033e+02,2.571189e+07
8,2,2.610361e+02,5.141730e+07
16,4,2.610530e+02,1.028280e+08
32,8,2.610729e+02,2.056402e+08
64,16,2.611461e+02,4.111652e+08
128,32,2.614607e+02,8.213408e+08
256,64,2.616333e+02,1.641598e+09
512,128,2.620976e+02,3.277380e+09
1024,256,2.630497e+02,6.531036e+09

# extra samples
# 4,1,5.223404e+02,2.569545e+07
# 4,1,4.907461e+03,2.573951e+07
