Num MPI ranks,Num nodes,cpu time used,zone-cycles/cpu_second
1,1,2.927359e+02,9.788851e+07
2,1,2.947277e+02,1.944540e+08
3,1,2.957782e+02,2.906450e+08
4,1,2.957522e+02,3.875607e+08
8,2,2.958962e+02,7.747443e+08
16,4,2.957460e+02,1.550276e+09
32,8,2.959431e+02,3.098486e+09
64,16,2.962393e+02,6.190775e+09
128,32,2.965117e+02,1.237018e+10
256,64,2.993779e+02,2.450349e+10
512,128,3.021610e+02,4.855560e+10
1024,256,3.060954e+02,9.586298e+10

# extra samples (some jitter)
# 64,16,2.964720e+02,6.185915e+09
# 64,16,3.045603e+02,6.021635e+09
# 256,64,2.992663e+02,2.451263e+10
